Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min
443,54865,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
80,55054,6,109,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,110091.7431,18348.62385,109.0,0.0,109.0,109.0
80,55055,6,52,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52.0,52.0
443,46236,6,34,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,352941.1765,58823.52941,34.0,0.0,34.0,34.0
443,54863,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,54871,6,1022,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11741.68297,1956.947162,1022.0,0.0,1022.0,1022.0
443,54925,6,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0
443,54925,6,42,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,285714.2857,47619.04762,42.0,0.0,42.0,42.0
443,9282,6,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0
443,55153,6,4,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,4.0
443,55143,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,55144,6,1,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1.0,1.0
443,55145,6,4,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,4.0
443,55254,6,3,3,0,43.0,0.0,31.0,6.0,14.33333333,14.43375673,0.0,0.0,0.0,0.0,14300000.0,1000000.0,1.5,0.707106781,2.0,1.0
80,36206,6,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03704,54.0,0.0,54.0,54.0
443,53524,6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0
443,53524,6,154,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12987.01299,154.0,0.0,154.0,154.0
443,53526,6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0
443,53526,6,118,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16949.15254,118.0,0.0,118.0,118.0
443,53527,6,239,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8368.200837,239.0,0.0,239.0,239.0
443,53528,6,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.5,0.707106781,1.0,0.0
443,53527,6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0
443,55035,6,4,2,0,248.0,0.0,217.0,31.0,124.0,131.5218613,0.0,0.0,0.0,0.0,62000000.0,500000.0,4.0,0.0,4.0,4.0
443,55275,6,5,3,0,254.0,0.0,217.0,6.0,84.66666667,115.283708,0.0,0.0,0.0,0.0,50800000.0,600000.0,2.5,2.121320344,4.0,1.0
443,55277,6,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0
443,8850,6,4,3,0,43.0,0.0,31.0,6.0,14.33333333,14.43375673,0.0,0.0,0.0,0.0,10800000.0,750000.0,2.0,1.414213562,3.0,1.0
80,43248,6,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03704,54.0,0.0,54.0,54.0
443,8678,6,42,3,0,43.0,0.0,31.0,6.0,14.33333333,14.43375673,0.0,0.0,0.0,0.0,1023809.524,71428.57143,21.0,25.45584412,39.0,3.0
443,55063,6,4,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,4.0
443,55203,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,55140,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,55180,6,737,2,1,37.0,6.0,31.0,6.0,18.5,17.67766953,6.0,6.0,6.0,0.0,58344.64043,4070.556309,368.5,310.4198769,588.0,149.0
443,55156,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,55096,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,55085,6,3,2,0,37.0,0.0,31.0,6.0,18.5,17.67766953,0.0,0.0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,3.0
443,8689,6,276,3,0,43.0,0.0,31.0,6.0,14.33333333,14.43375673,0.0,0.0,0.0,0.0,155797.1014,10869.56522,138.0,192.3330445,274.0,2.0
443,8817,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,8816,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,8886,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0
80,60350,6,105,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,114285.7143,19047.61905,105.0,0.0,105.0,105.0
80,60346,6,66,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,181818.1818,30303.0303,66.0,0.0,66.0,66.0
80,60352,6,68,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,176470.5882,29411.76471,68.0,0.0,68.0,68.0
443,8833,6,48,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,250000.0,41666.66667,48.0,0.0,48.0,48.0
443,9331,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,9175,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
80,8693,6,16,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,750000.0,125000.0,16.0,0.0,16.0,16.0
80,8695,6,63,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,190476.1905,31746.03175,63.0,0.0,63.0,63.0
80,8690,6,17,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,705882.3529,117647.0588,17.0,0.0,17.0,17.0
80,8694,6,123,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,97560.97561,16260.1626,123.0,0.0,123.0,123.0
443,57683,6,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0
443,57662,6,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0
443,54864,6,49,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,244897.9592,40816.32653,49.0,0.0,49.0,49.0
443,57680,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
80,60954,6,46,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43478.26087,46.0,0.0,46.0,46.0
443,57681,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,55270,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,55271,6,251170,3,0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,71.66460963,11.9441016,125585.0,177598.3534,251166.0,4.0
443,57674,6,49,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,244897.9592,40816.32653,49.0,0.0,49.0,49.0
443,50485,6,62,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32258.06452,62.0,0.0,62.0,62.0
443,57686,6,175,2,1,12.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,102857.1429,17142.85714,87.5,23.33452378,104.0,71.0
80,33666,6,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405,37.0,0.0,37.0,37.0
443,8883,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,8884,6,3,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0
443,55245,6,96,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,125000.0,20833.33333,96.0,0.0,96.0,96.0
443,55150,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0
443,55043,6,0,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0
443,55040,6,48,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,250000.0,41666.66667,48.0,0.0,48.0,48.0
443,55039,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0
443,55043,6,999588,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.00494604,2.00082434,999588.0,0.0,999588.0,999588.0
443,55039,6,75,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,160000.0,26666.66667,75.0,0.0,75.0,75.0
443,55040,6,32,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,375000.0,62500.0,32.0,0.0,32.0,32.0
27328,53,17,71693,2,2,74.0,176.0,37.0,37.0,37.0,0.0,88.0,88.0,88.0,0.0,3487.09079,55.79345264,23897.66667,41348.67743,71643.0,3.0
56447,53,17,60738,2,2,74.0,200.0,37.0,37.0,37.0,0.0,100.0,100.0,100.0,0.0,4511.179163,65.85663012,20246.0,35061.90451,60732.0,2.0
50038,21,6,126188,20,25,176.0,440.0,43.0,0.0,8.8,12.68069399,52.0,0.0,17.6,16.1606518,4881.605224,356.6107712,2867.909091,12377.64297,70791.0,1.0
38044,34805,6,8003,15,6,19897.0,0.0,2896.0,0.0,1326.466667,1136.570208,0.0,0.0,0.0,0.0,2486192.678,2624.015994,400.15,1445.918039,6454.0,1.0
38044,34805,6,1,2,0,617.0,0.0,617.0,0.0,308.5,436.284884,0.0,0.0,0.0,0.0,617000000.0,2000000.0,1.0,0.0,1.0,1.0
50038,21,6,50,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,25.0,32.52691193,48.0,2.0
39524,139,6,75,3,1,4.0,4.0,4.0,0.0,1.333333333,2.309401077,4.0,4.0,4.0,0.0,106666.6667,53333.33333,25.0,22.5166605,48.0,3.0
54990,443,6,208,4,0,46.0,0.0,46.0,0.0,11.5,23.0,0.0,0.0,0.0,0.0,221153.8462,19230.76923,69.33333333,57.8388566,114.0,4.0
40124,443,6,514004,3,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,11.67306091,7.782040607,171334.6667,150308.8093,281013.0,2.0
57700,80,6,60130920,5,3,216.0,1533.0,198.0,0.0,43.2,86.57482313,1527.0,0.0,511.0,879.8869246,29.08653318,0.133043033,8590131.429,22700000.0,60100000.0,28.0
57701,80,6,60130912,5,3,213.0,1619.0,195.0,0.0,42.6,85.23379611,1613.0,0.0,539.6666667,929.5387745,30.46685871,0.133043051,8590130.286,22700000.0,60100000.0,35.0
57683,443,6,3895966,5,1,135.0,46.0,46.0,6.0,27.0,20.1246118,46.0,46.0,46.0,0.0,46.45831098,1.540054508,779193.2,1688277.785,3798981.0,4.0
57662,443,6,3895242,5,1,135.0,46.0,46.0,6.0,27.0,20.1246118,46.0,46.0,46.0,0.0,46.46694608,1.540340754,779048.4,1688348.684,3798955.0,3.0
57681,443,6,3896308,5,1,135.0,46.0,46.0,6.0,27.0,20.1246118,46.0,46.0,46.0,0.0,46.45423308,1.539919329,779261.6,1688253.409,3799007.0,3.0
57674,443,6,3895052,5,1,135.0,46.0,46.0,6.0,27.0,20.1246118,46.0,46.0,46.0,0.0,46.46921273,1.540415892,779010.4,1688400.959,3799016.0,3.0
57686,443,6,3896461,5,1,135.0,46.0,46.0,6.0,27.0,20.1246118,46.0,46.0,46.0,0.0,46.45240899,1.539858862,779292.2,1696821.776,3814476.0,49.0
62449,53,17,31020664,8,4,372.0,452.0,52.0,41.0,46.5,5.879747322,157.0,69.0,113.0,50.80682369,26.56293882,0.386838915,2820060.364,9317725.506,30900000.0,1.0
53279,53,17,83718,4,2,184.0,300.0,46.0,46.0,46.0,0.0,150.0,150.0,150.0,0.0,5781.313457,71.66917509,16743.6,25063.96121,56230.0,1.0
57702,445,6,10706606,29,24,8142.0,4220.0,3072.0,0.0,280.7586207,658.4197888,420.0,0.0,175.8333333,153.2748786,1154.614263,4.950214849,205896.2692,1092307.606,7114425.0,0.0
57699,80,6,60166984,6,4,237.0,4593.0,213.0,0.0,39.5,85.03117076,2920.0,0.0,1148.25,1417.910758,80.27658491,0.16620411,6685220.444,20000000.0,60000000.0,23.0
51561,53,17,24027,2,2,68.0,100.0,34.0,34.0,34.0,0.0,50.0,50.0,50.0,0.0,6992.133849,166.4793774,8009.0,13865.06671,24019.0,4.0
58019,8080,6,1029807,3,3,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,17.47900335,5.826334449,205961.4,281152.7211,515080.0,524.0
34314,80,6,2979847,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006763099,1489923.5,2085777.621,2964791.0,15056.0
